onset	duration	trial_type	image_number	calories	text	food_rating
7.5	2.5	food image	0180.jpg	100	image 0180	1
10	2.5	food image	0484.jpg	700	image 0484	1
12.5	2.5	food image	0118.jpg	450	image 0118	1
15	2.5	food image	0004.jpg	100	image 0004	1
20	2.5	food image	0422.jpg	750	image 0422	2
22.5	2.5	food image	0127.jpg	240	image 0127	1
27.5	2.5	food image	0068.jpg	570	image 0068	2
30	2.5	food image	0119.jpg	240	image 0119	2
35	2.5	food image	0491.jpg	310	image 0491	3
37.5	2.5	food image	0289.jpg	220	image 0289	2
40	2.5	food image	0436.jpg	250	image 0436	3
42.5	2.5	food image	0115.jpg	680	image 0115	3
52.5	2.5	food image	0421.jpg	480	image 0421	2
55	2.5	food image	0420.jpg	160	image 0420	2
65	2.5	food image	0155.jpg	140	image 0155	3
70	2.5	food image	0104.jpg	120	image 0104	2.430167598
72.5	2.5	food image	0199.jpg	60	image 0199	3
77.5	2.5	food image	0080.jpg	340	image 0080	2
80	2.5	food image	0033.jpg	350	image 0033	2
82.5	2.5	food image	0430.jpg	360	image 0430	4
87.5	2.5	food image	0006.jpg	400	image 0006	2
90	2.5	food image	0008.jpg	60	image 0008	2
92.5	2.5	food image	0053.jpg	310	image 0053	1
97.5	2.5	food image	0452.jpg	290	image 0452	2
102.5	2.5	food image	0280.jpg	30	image 0280	4
105	2.5	food image	0504.jpg	750	image 0504	2
107.5	2.5	food image	0063.jpg	130	image 0063	1
117.5	2.5	food image	0503.jpg	610	image 0503	3
120	2.5	food image	0482.jpg	240	image 0482	3
125	2.5	food image	0085.jpg	1050	image 0085	2
127.5	2.5	food image	0307.jpg	240	image 0307	3
130	2.5	food image	0169.jpg	200	image 0169	2
135	2.5	food image	0089.jpg	470	image 0089	2
137.5	2.5	food image	0161.jpg	210	image 0161	1
142.5	2.5	food image	0083.jpg	300	image 0083	2
145	2.5	food image	0123.jpg	330	image 0123	1
150	2.5	food image	0282.jpg	110	image 0282	4
152.5	2.5	food image	0287.jpg	300	image 0287	1
160	2.5	food image	0433.jpg	280	image 0433	4
162.5	2.5	food image	0424.jpg	650	image 0424	3
167.5	2.5	food image	0186.jpg	110	image 0186	1
170	2.5	food image	0255.jpg	40	image 0255	4
172.5	2.5	food image	0134.jpg	300	image 0134	2
175	2.5	food image	0498.jpg	1180	image 0498	3
177.5	2.5	food image	0110.jpg	360	image 0110	3
182.5	2.5	food image	0311.jpg	240	image 0311	3
185	2.5	food image	0500.jpg	670	image 0500	3
187.5	2.5	food image	0022.jpg	750	image 0022	3
192.5	2.5	food image	0409.jpg	720	image 0409	4
197.5	2.5	food image	0419.jpg	250	image 0419	2
200	2.5	food image	0043.jpg	110	image 0043	2
202.5	2.5	food image	0014.jpg	360	image 0014	2
205	2.5	food image	0477.jpg	370	image 0477	4
207.5	2.5	food image	0479.jpg	690	image 0479	4
210	2.5	food image	0010.jpg	350	image 0010	2
212.5	2.5	food image	0094.jpg	390	image 0094	1
215	2.5	food image	0140.jpg	180	image 0140	4
220	2.5	food image	0241.jpg	170	image 0241	3
222.5	2.5	food image	0405.jpg	500	image 0405	3
225	2.5	food image	0426.jpg	630	image 0426	1
227.5	2.5	food image	0113.jpg	160	image 0113	1
240	2.5	food image	0167.jpg	450	image 0167	1
242.5	2.5	food image	0073.jpg	560	image 0073	2
245	2.5	food image	0165.jpg	200	image 0165	2
255	2.5	food image	0418.jpg	150	image 0418	2
262.5	2.5	food image	0206.jpg	30	image 0206	4
265	2.5	food image	0005.jpg	90	image 0005	2
267.5	2.5	food image	0237.jpg	500	image 0237	2
270	2.5	food image	0495.jpg	150	image 0495	4
272.5	2.5	food image	0041.jpg	190	image 0041	1
275	2.5	food image	0474.jpg	680	image 0474	3
282.5	2.5	food image	0174.jpg	550	image 0174	1
285	2.5	food image	0102.jpg	330	image 0102	2
287.5	2.5	food image	0472.jpg	1180	image 0472	2
290	2.5	food image	0425.jpg	380	image 0425	2
292.5	2.5	food image	0488.jpg	420	image 0488	4
297.5	2.5	food image	0401.jpg	360	image 0401	2
300	2.5	food image	0002.jpg	910	image 0002	2
305	2.5	food image	0465.jpg	470	image 0465	4
310	2.5	food image	0450.jpg	540	image 0450	4
312.5	2.5	food image	0487.jpg	550	image 0487	3
315	2.5	food image	0435.jpg	250	image 0435	3
317.5	2.5	food image	0441.jpg	770	image 0441	2
320	2.5	food image	0467.jpg	440	image 0467	3
322.5	2.5	food image	0440.jpg	520	image 0440	3
325	2.5	food image	0293.jpg	80	image 0293	1
327.5	2.5	food image	0058.jpg	310	image 0058	3
335	2.5	food image	0166.jpg	210	image 0166	2
337.5	2.5	food image	0423.jpg	100	image 0423	2
340	2.5	food image	0446.jpg	720	image 0446	3
